Region,Miami Heat: (6/12/12 - 6/21/12),Oklahoma City Thunder: (6/12/12 - 6/21/12)
Oklahoma,19%,81%
Florida,83%,17%
Georgia,60%,40%
Texas,41%,59%
District of Columbia,58%,42%
Mississippi,62%,38%
Michigan,63%,37%
Missouri,42%,58%
Arkansas,43%,57%
Louisiana,57%,43%
Ohio,60%,40%
Illinois,54%,46%
Kansas,43%,57%
New York,57%,43%
Hawaii,56%,44%
South Carolina,62%,38%
North Carolina,59%,41%
New Hampshire,49%,51%
Massachusetts,54%,46%
Alabama,56%,44%
Kentucky,58%,42%
New Jersey,58%,42%
Tennessee,57%,43%
Alaska,52%,48%
Delaware,68%,32%
Wisconsin,49%,51%
Maryland,54%,46%
Minnesota,52%,48%
California,55%,45%
Vermont,44%,56%
Virginia,57%,43%
Arizona,52%,48%
Washington,48%,52%
Colorado,52%,48%
Nevada,50%,50%
Nebraska,53%,47%
Pennsylvania,58%,42%
Utah,56%,44%
Indiana,56%,44%
Rhode Island,56%,44%
South Dakota,60%,40%
Connecticut,55%,45%
Maine,60%,40%
Iowa,49%,51%
North Dakota,51%,49%
West Virginia,62%,38%
New Mexico,46%,54%
Wyoming,41%,59%
Montana,51%,49%
Oregon,51%,49%
Idaho,64%,36%
