Region,Golden State Warriors: (6/1/17 - 6/12/17),Cleveland Cavaliers: (6/1/17 - 6/12/17)
Ohio,15%,85%
California,76%,24%
Michigan,42%,58%
Georgia,51%,49%
Texas,52%,48%
Mississippi,53%,47%
Hawaii,58%,42%
Nevada,58%,42%
North Carolina,53%,47%
Illinois,50%,50%
Florida,49%,51%
Alabama,52%,48%
Pennsylvania,41%,59%
New Mexico,58%,42%
South Carolina,49%,51%
Louisiana,52%,48%
Arkansas,52%,48%
District of Columbia,49%,51%
West Virginia,42%,58%
New York,49%,51%
Indiana,49%,51%
Utah,53%,47%
Oklahoma,53%,47%
New Jersey,48%,52%
Kentucky,47%,53%
Massachusetts,49%,51%
Arizona,54%,46%
Tennessee,51%,49%
Rhode Island,49%,51%
Nebraska,53%,47%
Delaware,50%,50%
Montana,58%,42%
Maryland,50%,50%
Wyoming,52%,48%
Alaska,52%,48%
Connecticut,50%,50%
Wisconsin,48%,52%
Virginia,50%,50%
Idaho,60%,40%
Washington,57%,43%
New Hampshire,50%,50%
Oregon,56%,44%
Iowa,53%,47%
Maine,49%,51%
Missouri,51%,49%
North Dakota,49%,51%
Colorado,53%,47%
Vermont,52%,48%
Minnesota,53%,47%
South Dakota,53%,47%
Kansas,54%,46%
