Region,Toronto Raptors: (5/30/19 - 6/13/19),Golden State Warriors: (5/30/19 - 6/13/19)
California,24%,76%
Texas,44%,56%
Hawaii,40%,60%
Georgia,39%,61%
Nevada,40%,60%
Mississippi,38%,62%
Illinois,44%,56%
New Mexico,39%,61%
Ohio,47%,53%
North Carolina,40%,60%
Florida,42%,58%
Oregon,42%,58%
Alabama,40%,60%
Arizona,38%,62%
Louisiana,41%,59%
New Jersey,45%,55%
Washington,38%,62%
New York,47%,53%
Arkansas,38%,62%
Michigan,40%,60%
Wisconsin,43%,57%
Virginia,40%,60%
Maryland,40%,60%
Oklahoma,44%,56%
Pennsylvania,46%,54%
South Carolina,41%,59%
Utah,45%,55%
Delaware,48%,52%
South Dakota,43%,57%
Idaho,37%,63%
District of Columbia,44%,56%
Tennessee,42%,58%
North Dakota,45%,55%
Nebraska,42%,58%
Montana,41%,59%
Alaska,41%,59%
Wyoming,38%,62%
Massachusetts,49%,51%
Indiana,44%,56%
Rhode Island,49%,51%
Colorado,43%,57%
Kentucky,45%,55%
Iowa,43%,57%
Connecticut,48%,52%
Missouri,44%,56%
Kansas,47%,53%
Minnesota,44%,56%
Vermont,49%,51%
Maine,49%,51%
West Virginia,45%,55%
New Hampshire,51%,49%
